0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
-43.263469446210806,13.739959246983865,-52.5576589788258,-62.55765877521601,-55.567958731855825,-46.537059065546174,-12.134739656185321,-14.54657289622743,-14.103143544366878,-11.773815541931059,-9.301639862957185,-7.367573927617031,-5.940364309268913,-4.872721131201062,-4.33521240354554,-3.9208559398427676,-4.203924357136658,-4.718109120146034,-5.477488557310791,-6.706560887697027,-8.626032431181006,-11.291994061793119,-14.487656198347576,-16.006563052025584,-13.413169063493504,-10.388481803559102,-8.031928905961788,-6.506235860437538,-5.495175819081467,-4.66117459957326,-4.317168700513527,-4.579992212284997,-45.56795882687372,-5.73965801020127,-6.7569664796941264,-8.437541245714398,-11.29744939615603,-14.42158221875625,-18.758261684125177,-18.83056343691685,-14.749447325687889,-11.579499799196979,-9.49963259962623,-8.153196375292232,-7.316905604534757,-6.772768154053375,-6.858093794268766,-7.464826717319486,-8.141885474753579,-9.170604088971865,-11.305286638195067,-14.073057935610008,-18.256908475242536,-27.04071988117118,-27.581452374730123,-19.20809762486361,-15.361362886162288,-13.201930916132621,-11.903131428870061,-44.70436050299186,-50.00493395041605,-45.65569807188791,-62.55765877521601,-59.5473588185762,-48.40792516498874,-50.253169561433275,-55.567958731855825,-50.00493395041605,-47.933678679209336,-51.41822540877055,-14.869428520199502,-13.076464740389461,-12.121324942221559,-11.856208256615318,-11.64320528400669,-11.856984227307558,-12.231793656364957,-13.31228145971867,-15.320065776052418,-18.827619005492274,-22.170264889109276,-25.44718244544824,-21.216844354686366,-17.499378420361925,-14.579030532208744,-12.817795241728343,-11.36959036234187,-10.199950857414317,-9.661011132847268,-9.251573224762884,-9.410540823121464,-9.538984845363467,-9.829963034602262,-11.049450109784384,-12.213379629599245,-13.760050271140308,-47.24286956486998,-16.025533494483255,-14.843474178990405,-12.669706500766583,-11.026677645105531,-9.108688445551511,-7.740710717871541,-6.8317071532420375,-6.288211878595612,-5.943876820861787,-5.996321943702912,-6.333839501079812,-7.014306180756615,-7.978809604905081,-9.434826747103429,-11.036243517491009,-12.552580615199936,-13.367872363305874,-13.245877787500305,-11.726037768338038,-10.20131404087116,-9.043464310602484,-8.057308656264698,-7.671108139178467,-7.601923935747098,-7.739550249016621,-8.19845101896371,-49.5473588185762,-50.253169561433275,-2.821019525524094,-7.407389572429622,-8.060222221538014,4.633810254129625,15.678382697752438,8.562747553259888,18.446148258844726,-55.567958731855825,-50.253169561433275,-7.541302257246326,-8.676077958160569,-9.758321376707242,-9.643415060387232,-8.46488931847819,-6.424262678659454,-4.428565562031955,-2.734873745101105,-1.3824402984064974,-0.35138497562764115,0.26040326244215584,0.6577872576096035,0.6614000482748149,0.4640591437182039,-0.04787483447520717,-0.9220348858482584,-2.23911200963766,-3.848232198079793,-5.6066961789077485,-6.925114772494569,-6.4997615704984195,-4.858297737805811,-3.057078588251603,-1.4497792631227608,-0.22487444895611622,0.5872194104560592,-44.49585903537714,1.3999667058782368,1.375272141194628,1.0299605078696408,0.4044395065011577,-0.5909101945177029,-2.0136351082461212,-3.9011239457833757,-6.376916050832497,-8.840553308635904,-9.240997431026493,-7.0082024408097485,-4.432736886516819,-2.427389508169599,-1.0418002696185806,-0.06009544617614975,0.5627704517200335,0.8234981606581606,0.7737841917949622,0.46205525799418323,-0.2714741204783105,-1.5118691830656996,-3.193421069820459,-5.607178570778125,-9.002760468693708,-13.134204608973592,-12.399871014954407,-51.41822540877055,-53.015233907055865,-48.578258552755784,-52.5576589788258,-51.41822540877055,-43.06375867063771,-46.875641754664755,-50.51645894865676,-50.253169561433275,-48.57825876993955,-51.41822540877055,-5.34039330853852,-8.67224238460084,-14.557571364955093,-18.97640599356269,-11.59840264291255,-7.2563149934081235,-4.475245002592951,-2.69083719186698,-1.5127021485479817,-0.7611732797182984,-0.5384028482536773,-0.7093536865707835,-1.133814070639069,-2.064478254468934,-3.5110114630415845,-5.821773748573435,-9.204403706260532,-15.093418530402904,-20.046632535540954,-12.919355776754138,-8.011694857802471,-5.483149210843572,-3.6180836640687284,-2.5013202127185306,-1.8698167068503384,-1.714953429095392,-46.42982012525045,-2.4103541163207858,-3.244519149134612,-4.681035093145842,-6.889325581448621,-9.466767834317832,-13.122466133157616,-15.17540447402512,-12.313705458213883,-9.295508978204147,-6.8896320705099745,-5.303532983406121,-4.136236068285288,-3.4685589829442423,-3.184466071030405,-3.222963378097141,-3.520238415796511,-3.9955433054214335,-4.904475597109914,-6.103780117243184,-7.433323379057077,-9.172058165260536,-10.522081353771593,-11.615324144861498,-11.354782378600028,-10.122491626954046,-8.680113398879385,-52.5576589788258,-55.567958731855825,-50.51645894865676,-45.31490016884766,-62.55765877521601
-62.84890403358661,13.448713760601201,-59.838604076946794,-49.838604076946794,-55.85920399022642,-53.81800416366717,-4.689197298652987,-5.600495178288591,-6.3572597711993435,-6.921530700699279,-6.773881823661788,-6.150214787217543,-5.024744140790828,-4.152210696415313,-3.3022346401574483,-2.677393111762086,-2.321157140900794,-2.2096850439780487,-2.3428289284770316,-2.7810057612799195,-3.413340435725383,-4.124351879194418,-5.2070159913551075,-6.171526672129527,-7.039278137125937,-7.21122250171311,-6.755169361293754,-5.9949624665187615,-5.09782577198791,-4.558795177925145,-4.061928675022609,-3.795560138227085,-45.85920408848437,-3.908996640432,-4.37326984966813,-5.1151358222337,-5.693106751245619,-6.8515464517746025,-7.671601979275512,-8.435960004600435,-8.501666249136536,-7.9943873897292095,-7.423936184695766,-6.931025716441098,-6.586629666683923,-6.195627183720976,-6.182179979439516,-6.033814657978049,-6.357171914440997,-7.1095061610973715,-7.676074177133895,-8.552931694415225,-9.459799561471822,-10.312883099536979,-10.880844038599559,-10.534157111359804,-10.213158904515812,-9.503140008076196,-8.861832159713828,-53.30647917314086,-46.82830433085974,-53.30647917314086,-59.838604076946794,-51.70947067248189,-56.82830412030698,-59.838604076946794,-59.838604076946794,-47.16688702054125,-51.70947067248189,-59.838604076946794,-12.211968548471159,-11.96580651247386,-11.239988894667064,-10.908619529011535,-10.301877163925361,-10.276919940883802,-10.12081451462192,-10.374425184479595,-10.64651506070298,-10.95501157390073,-11.814116559599192,-12.878318653823014,-13.371577772453698,-14.05375927524223,-14.8302035812743,-14.553486217542236,-14.515839024507864,-14.066214569256681,-13.896336484611698,-13.603526701768727,-13.206826767132009,-13.311790379454909,-13.667236906331857,-13.614754160071364,-13.929684478489918,-14.678541458679712,-51.70947067248189,-15.408635344460183,-15.366326192271469,-15.827012186972116,-15.270542067387485,-15.961058366163165,-16.1730671771451,-16.11049652102413,-16.176990330158393,-15.701416616787773,-15.320356329931242,-14.836651448003854,-14.482309072347824,-13.903251553022397,-13.460055978328867,-13.07930899598774,-12.986159425525145,-13.429568213487181,-13.59372037382981,-14.112559710042301,-14.818363418735283,-15.99740035800432,-17.238844824218916,-17.591719875264126,-17.850247051792646,-17.009099255933656,-16.382416811693986,-59.838604076946794,-50.54441481980387,-3.112264765162569,-7.698634616731786,-8.351467347275454,4.3425652098274625,15.387137132521582,8.271502591328836,18.15490316693613,-56.82830412030698,-52.84890424413936,-13.30136699345445,-10.740210147324522,-8.159393196493424,-6.109953325785353,-4.22072328243501,-2.9958520796969834,-2.052805163310849,-1.316046257221143,-0.9559748054920476,-0.7963053767473033,-1.056245249601661,-1.5527749321227038,-2.3972004274380403,-3.544864675584682,-5.158603772264958,-6.7735815868082305,-7.9660769386229004,-7.365488992542967,-5.799680983265877,-3.9182530948726955,-2.215761792234971,-0.9479580059736485,0.04247524959915771,0.6230216569254116,1.006136354250085,1.0093049898599216,-46.31677912978067,0.5044332268380776,-0.15151039861188925,-1.3333362577808117,-2.6064743367100314,-4.497225660823544,-6.244632184346891,-7.606799812917614,-7.0147736255329765,-5.154237324467913,-3.224997650516242,-1.7051129199769903,-0.45200361906019415,0.4552701663259174,0.9682615388271425,1.3855813293323767,1.320800902852788,1.1965390637481426,0.5664801214483922,-0.19581938048758118,-1.2646488750080636,-2.7616675249768186,-4.56946335497851,-6.1828071170119845,-7.117344136581187,-5.981960379291692,-4.210573622967767,-43.76405376681761,-51.70947067248189,-41.48169864378413,-48.22492393358972,-48.69917041890872,-38.424106391082944,-51.70947067248189,-43.71076543271795,-13.380246191001993,-41.51351490859958,-45.21462421896456,-3.230171843346812,-5.188279599479021,-6.824787710795252,-7.356467623517439,-5.9562239280541664,-4.202310011892012,-2.4005520647366914,-1.1031864297273344,-0.13418451690313077,0.5137013163703441,0.7623823228204412,0.7596688074587756,0.4150383647868667,-0.15708889655148997,-1.1957248704115178,-2.410862043416943,-4.289728557746514,-6.625136753877322,-9.379352891886807,-10.626292315444708,-9.285853294236471,-6.883812975071849,-4.839300895564485,-3.4753653848433648,-2.6289943391780115,-2.024023208011965,-45.85920408848437,-1.9185205805941448,-2.3493318828613616,-3.2142698828020877,-4.168664133301036,-5.871686315192357,-7.716821457473566,-9.811717834656521,-11.142415049646935,-10.607900289310317,-8.920071047644736,-7.184422828285988,-5.76637854981532,-4.572233359414873,-3.907405683557575,-3.360936498509579,-3.263217660348068,-3.1333902800401403,-3.453581600966556,-3.8468447560562335,-4.444875678965495,-5.213927808469498,-6.089783283989451,-6.884197809174559,-7.570827119579554,-7.734763401904914,-7.475940007447772,-44.523814906524244,-55.85920399022642,-43.55471470213095,-49.838604076946794,-52.84890424413936
-41.74135223064334,14.025481476148991,-59.261836708837734,-46.95734749505499,-55.28243662211736,-52.27213666547755,-6.867878365232153,-7.657076332361418,-8.424858338301576,-8.289871349742695,-7.7005114298972055,-6.665205180114838,-5.717246471582583,-4.848648529784518,-4.271533317153736,-4.083566023120181,-4.00572694247924,-4.236404886741688,-4.816135022236656,-5.570773225272071,-6.621111499322159,-7.563183003764422,-8.13389390641734,-8.416913861603344,-7.819442746549965,-7.103663903452183,-6.337061023741731,-5.564855726185281,-5.265376185026981,-5.132487746838425,-5.350147117001043,-5.710752130806345,-42.977947408334614,-7.189641183779915,-8.319502133912327,-8.847732334787763,-9.41888211295687,-9.230938448445926,-8.876727947834569,-8.255374851401612,-7.722712791321618,-7.1848872808683435,-7.0900518196089095,-7.275087173709732,-7.621744957042579,-8.335121642819871,-9.019669526401147,-9.964123036683514,-10.626585644748099,-11.471466248422251,-11.28099592018646,-10.96838042392141,-10.332518979851667,-10.046168124444986,-9.606221792906396,-9.469267704267885,-9.45859815334385,-9.657961130976377,-10.00654975187685,-48.122403185769365,-55.28243662211736,-46.5901194248076,-56.25153675219792,-49.261836708837734,-56.25153675219792,-51.13270314240918,-52.27213666547755,-51.13270314240918,-62.27213666547755,-62.27213666547755,-11.084827978998312,-11.386204441681791,-11.735514069243012,-12.322589388336802,-13.281376776118837,-14.353476328531041,-15.26293743461607,-15.595272693301627,-15.071370927186013,-14.65789564683143,-14.076565527918836,-13.61979354454573,-13.132674231788474,-13.011955042221835,-13.213530723370289,-14.087436395140934,-14.73347297289731,-15.761683671106347,-15.961759750733485,-17.19020766201362,-17.51687772426097,-17.477823446800343,-17.760415244291433,-17.08370854627201,-16.45548394805338,-16.503197011862046,-48.29273657875717,-16.10612134109893,-16.132239757671176,-16.199302598615542,-16.860714332341693,-16.096891700683734,-16.641005933828612,-17.019874040924382,-16.78149079385203,-17.54969333976445,-17.200461885152535,-17.622325610483138,-17.514698354665406,-17.385360297516147,-16.64385681105934,-16.202951240515908,-15.518020040729786,-15.056833091404439,-14.858335302732414,-14.802293841723365,-14.873408186746902,-15.578502777915855,-16.06349188288965,-17.44797440090974,-18.442246125445823,-18.96211744123969,-19.300004673513758,-46.70911165780468,-49.9676474516948,-2.5354976353332632,-7.121867419441015,-7.774699806966646,4.919332407118234,15.963904946409833,8.848270222632111,18.731670531325058,-59.261836708837734,-55.28243662211736,-8.926593699040167,-7.00861454621788,-5.78115495530347,-4.697409222219487,-4.151958975018642,-3.742453673535369,-3.862235811040606,-4.296850538883913,-5.255239332936816,-6.5863061726966645,-8.307196817929489,-9.835357838573831,-10.302255109208758,-8.67353550427793,-6.332965437476721,-4.637542107253223,-2.934830093655247,-1.916378861735136,-1.0949537765754294,-0.8624704249100928,-0.7489199763330551,-1.0655748605348117,-1.7755769772406023,-2.784174317591651,-4.220650259894162,-6.0894588268664585,-52.27213666547755,-9.287776103607904,-8.353298218454157,-6.197114877497128,-4.436387614529237,-2.685303845192115,-1.6358576319939022,-0.9802505853276053,-0.5777671732898441,-0.4951098591822268,-0.8681717460841715,-1.4566687537543745,-2.4165966094410174,-3.8325251249540644,-5.641160928349324,-8.05496252987996,-9.051329613875852,-8.296003729026573,-6.1374817377885,-4.163838798336961,-2.5508766338930515,-1.521245911387161,-0.6660440137805973,-0.37184132027421846,-0.24963803076492036,-0.5093684051220203,-1.0983993902879479,-47.648156686487994,-55.28243662211736,-43.698811701164864,-49.9676474516948,-42.977947408334614,-52.27213666547755,-45.37017586519241,-49.71941161444449,-52.7297115710843,-46.25153675219792,-48.29273657875717,-0.30866697081896594,-0.2240750537975395,-0.7468409520100148,-1.2629062152374948,-2.5004765204610084,-3.9839788784833505,-5.9929814284572664,-8.481893131132312,-9.9314963819199,-9.181693644971435,-6.899173097692563,-4.858020647878328,-3.3724839485980764,-2.4408511331103067,-1.7409139704061563,-1.6747988042845754,-1.7371343289017527,-2.4707386430123206,-3.361336120830047,-4.965371512563013,-7.016130652659333,-9.709747555150166,-12.586093037976486,-12.51873775447071,-10.353017781846145,-7.996804880638416,-48.29273657875717,-5.0206026928901,-4.608030547629657,-4.080778803254988,-4.313058477011124,-4.677838451011597,-5.765545789336748,-7.0258258787135475,-8.76065016169166,-10.497060200725393,-11.95199614339623,-11.699737062689522,-10.419407422607488,-8.799129281241143,-7.220067080056953,-6.1983373101953525,-5.420148639483387,-5.191872919135601,-4.931374595795867,-5.05922511837761,-5.4743611219611275,-6.011680387327138,-6.778658091047014,-7.737592753908067,-8.437483967487637,-8.969460219383343,-9.03009412457287,-45.74001152772411,-47.648156686487994,-49.71941161444449,-51.13270314240918,-52.7297115710843
-45.44552895944086,13.862388647575825,-50.1307398827063,-51.29579541898991,-51.29579541898991,-46.753211638781266,-7.687983083264394,-8.207591349233901,-8.263618638879175,-7.798911494389891,-7.04013997148345,-6.3847981752635485,-5.60381264424419,-5.036176600142197,-4.706227865042701,-4.515341741660573,-4.720177651851035,-5.209868819290775,-5.725492001313404,-6.4214748794623855,-7.260248442136619,-7.872160928279382,-8.127707806724544,-7.949386981916717,-7.382304436048281,-6.684032330903839,-5.978088936484839,-5.505553273561139,-5.3088920097136185,-5.215467125865567,-5.422269560045634,-5.930638036943928,-44.110139969426676,-7.3875309686655015,-8.125936355467546,-8.713291727071544,-9.099346234495494,-8.809009610198412,-8.218926683320575,-7.655440472885631,-7.035878494379971,-6.625044901360221,-6.506613898052606,-6.619270439201031,-6.686008048896245,-7.408486505777025,-8.143974757053396,-9.496545151611368,-10.488310071199301,-11.33037583376408,-11.649754572998184,-11.231332921680231,-10.371018556747762,-9.742598847503215,-8.867993156321035,-8.355646355874876,-8.100522746970306,-8.320884051469278,-8.686573055226784,-47.81124923287878,-51.29579541898991,-52.89280377902914,-47.383729313289976,-48.45582892946467,-55.44552905312885,-56.414629183209414,-47.12043996543119,-52.435228895729054,-51.29579541898991,-59.424929139849226,-10.213867317595051,-10.176220766023857,-10.49294485630991,-11.02606525160109,-11.928300403446087,-12.897970550592788,-13.93262764021354,-15.553701782319639,-17.19022914713921,-17.855653726778588,-16.91573037367202,-16.0859245320068,-15.162257389924946,-14.260897654886136,-13.61767463506724,-13.202115175593203,-13.456320181677775,-13.86763804878102,-14.98682543232222,-15.995474173912829,-17.954817028735476,-19.403052504331416,-20.880350607980603,-22.7480649226026,-22.001606119454227,-20.339810646372037,-45.19247031209625,-18.153718871961882,-17.656784238010477,-17.38630861834362,-17.339171795899485,-17.555365935047167,-17.86049753864069,-18.094012823036007,-18.49351527421842,-18.395792239629856,-18.554927839544327,-18.68316678634978,-18.242281953264683,-18.009020816193374,-17.625248217584005,-17.823096062263055,-17.674307282216304,-16.72781565651175,-16.35853441687289,-15.849678003780385,-15.434685003166349,-15.278370118974621,-14.97995286832139,-15.22141061274918,-15.446745072118723,-16.02237194616333,-16.93722932755876,-47.383729313289976,-50.1307398827063,-2.698590028156528,-7.284959621161509,-7.937792184256568,4.756240205397739,15.800812563955848,8.685177747911458,18.568578103098965,-52.435228895729054,-48.28549574547316,-5.587448666687541,-5.780085068668849,-6.3720819709147944,-7.28781317919066,-8.412873160547937,-9.62232691522135,-9.956257515707694,-8.808575988326343,-6.893003322137416,-4.975476449595257,-3.3395353267325816,-2.026200600711205,-1.088786124808469,-0.46926457303255265,-0.08829009384809598,-0.06862490641249183,-0.35841975937789267,-0.8959075035165132,-1.7756061449754315,-3.029615718437035,-4.606284107798587,-6.182722305796494,-7.191670541441616,-6.666542767432283,-5.125824156173044,-3.4579853022199596,-50.39402926992979,-0.8923955209114358,-0.13513607602441943,0.38010670275588937,0.5935323102487532,0.4356279782743666,0.08082225473189894,-0.7220489767272844,-1.704464255815322,-3.146387217213164,-4.845837873519095,-6.665081906248723,-7.670593703429622,-6.9160836153824645,-5.207277770739562,-3.4408707916446017,-1.9605488873393109,-0.9124621240766677,-0.10907666626643533,0.28453400196615264,0.43638280543248614,0.07911180339415247,-0.340754468152154,-1.123172746026589,-2.2732347532402084,-3.786073478187017,-5.666455886496637,-56.414629183209414,-49.424929139849226,-46.307390610901436,-48.45582914360865,-52.89280377902914,-49.424929139849226,-47.81124923287878,-50.1307398827063,-47.81124923287878,-45.44552895944086,-49.882503822389324,-1.0145772141230482,-1.9960879224581989,-3.314428067119784,-5.174961833955846,-7.3667977481980955,-9.475382331896288,-9.339842686381111,-7.488327305940592,-5.444617029240702,-3.7081610836526413,-2.5662178901304946,-1.847553453474792,-1.3435692907905752,-1.3081470623701987,-1.5688974806843836,-2.271339493799362,-3.2513970386093587,-4.828441299280174,-6.81676475085181,-9.528718356619395,-12.174924835315402,-12.380935338229593,-10.01705055493865,-7.511690806955512,-5.746060757930092,-4.531497647850362,-14.228044241584778,-3.396465025816343,-3.2480288924764884,-3.6303634169901144,-4.435624172398836,-5.313852138116474,-6.843574877254925,-8.677276664324182,-10.519685040460695,-11.324218030126076,-10.251659882678247,-8.643806442635878,-6.973653763443082,-5.68896876686837,-4.58409560740795,-4.075103605239676,-3.787763433037223,-3.67231166230372,-3.962730141605789,-4.435259156664804,-5.110318446684285,-5.994459095553503,-7.051087829058136,-7.895734559274556,-8.36996347337015,-8.57980974496741,-7.921141850043519,-49.424929139849226,-47.12043996543119,-52.435228895729054,-56.414629183209414,-50.39402926992979
-45.909688481657305,13.855804760577463,-52.89938852501749,-55.452113129578926,-47.81783296301597,-49.4315132162993,-7.91442910340858,-8.359651310885035,-8.348975893487191,-7.669544079037306,-7.084151844204315,-6.399152983150428,-5.619784348495208,-5.010629040808348,-4.784911458301439,-4.632472218519979,-4.953283730264281,-5.488590259788499,-6.068547229816676,-6.870773276189697,-7.669877034896885,-8.272879439014806,-8.303570339358789,-7.870127139665987,-7.078438795772918,-6.450299720511272,-5.925447684682319,-5.4035705732675865,-5.406595226561922,-5.394115089788127,-5.746998621802216,-6.390638153215653,-44.380013433100245,-7.907268959739015,-8.702601962103728,-9.000387091960427,-9.118155727207753,-8.454689479387465,-7.81232555984491,-7.196281168276281,-6.72041888092962,-6.611186422374641,-6.611946416798685,-6.943434072151863,-7.293773219660096,-8.162782963337257,-9.189920932382208,-10.524816395426221,-11.296069908599657,-11.704043116414745,-11.239694537957261,-10.445550287951786,-9.612761166041297,-9.051753656114776,-8.372513079809064,-8.176879602483794,-8.231288475293406,-8.641076150759142,-9.329595310579034,-55.452113129578926,-48.29207943565116,-47.12702392372745,-59.4315132162993,-52.89938852501749,-55.452113129578926,-48.29207943565116,-52.44181357476358,-62.44181317293911,-51.30237995896648,-52.44181357476358,-10.156244069901687,-10.41867401306574,-11.274009658090012,-12.070098693207601,-13.589784578544082,-15.035976187036264,-16.10460446136233,-17.542650039736515,-17.097870882994503,-16.54432694183495,-15.1267312514293,-14.131502496398692,-13.502809076437575,-13.089562975525944,-12.945474148982129,-13.248835346520691,-13.80477869060972,-14.818779765064606,-16.439383212877658,-18.462413135509202,-21.334233329812065,-22.69899941007241,-21.710497370278578,-21.06036562424442,-19.393462679277583,-18.05338454569382,-47.12702392372745,-16.809257086020356,-17.163710588671496,-17.602803168150672,-17.582186666426985,-18.893624405470135,-19.86502770929843,-19.641040244108193,-20.374363381509404,-19.684554595734795,-19.5671549326037,-18.925395889546557,-18.174586705520518,-17.857247872057325,-17.178291099735983,-16.837844323676123,-16.12321730962631,-15.858836400326826,-15.538965739347326,-15.2827824227351,-15.355054863994225,-15.74734279855469,-16.14150266576149,-16.46376516732385,-17.211375745996442,-18.017015051167466,-18.718401742976486,-55.452113129578926,-62.44181317293911,-2.7051741642224214,-7.291543747471682,-7.944376737742102,4.749656079087567,15.794228476385948,8.678593549485301,18.561993645739236,-62.44181317293911,-62.44181317293911,-5.170819463116497,-4.515256351674856,-4.336363126103086,-4.254639559216603,-4.76016236351176,-5.468604245694856,-6.544494573945578,-7.738811144888491,-8.778984518082027,-8.74483194890887,-7.31376897683548,-5.50816746356783,-3.6959221688016397,-2.2648160159576465,-1.0648233948431178,-0.48327853702782453,0.08099242713727531,0.10923512054958975,0.017619838967966314,-0.5524805169506163,-1.3179287117124037,-2.495281307693028,-4.043301173779728,-5.798506090233568,-6.8681729532880595,-6.901660584863672,-47.81783296301597,-3.7296983560555,-2.359730545143093,-0.9780859884879065,-0.2690138668717889,0.30794683031595504,0.4751824739177033,0.4091603500330745,0.019556767519801038,-0.7413970010093593,-1.8340418815279929,-3.2608282711297276,-5.115527842273564,-6.879982364873422,-7.678889179935857,-6.810979305680927,-4.951681466555302,-3.314280160197808,-1.8168018018466234,-0.7844032627848658,-0.13627669501619255,0.16072610512886548,0.2053096645686732,-0.1085974134018828,-0.6680757625448059,-1.591716688710443,-2.8737919321860614,-47.81783296301597,-56.42121325965949,-45.45211331709701,-14.547033564087615,-45.19905465383508,-45.53985256399896,-55.452113129578926,-55.452113129578926,-48.29207943565116,-50.137323959156376,-48.46241324694852,-0.4644629068615275,-0.9128109274397179,-1.909852748444512,-3.1197044817857384,-5.084403088771933,-7.288625963037244,-9.592161935138902,-9.855224877379726,-8.1181341801637,-5.959911508231432,-4.174782275590826,-2.956725160418193,-2.0618744008873304,-1.6665609589369212,-1.5441748181720796,-1.995000652365542,-2.587656460382148,-3.8281123230178995,-5.318060646842876,-7.526851684761152,-10.378817979686781,-12.720711020709919,-12.315718665374366,-9.58432767224621,-7.227450573363195,-5.653425680319311,-52.44181357476358,-3.734585699945824,-3.577058485655166,-3.5542912635283,-4.215367169189808,-4.8358923783868555,-6.230954416693486,-7.829214341618712,-9.711128587219601,-11.18332616094201,-10.942082581317091,-9.479682127639085,-7.661562524432075,-6.207573257534885,-5.07465388011653,-4.486947666103816,-3.9645012590398485,-3.874276979781719,-3.9914467871685186,-4.421454912251593,-5.094694897938762,-6.014942507526339,-6.894838181021478,-7.868005663900397,-8.45460270040718,-8.667985938380745,-8.134727069212044,-45.45211331709701,-47.12702392372745,-62.44181317293911,-43.749496011829756,-50.137323959156376
